成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,漲跌價差,開盤價
8857,36687092,8651389851,238.0,108/06/03,232.0,238.5,2.5,235.5
11779,24443428,5745045809,233.0,108/06/04,233.0,238.0,-5.0,237.5
12064,35901584,8461930934,235.0,108/06/05,234.0,238.0,2.0,238.0
14723,34651731,8008768323,232.0,108/06/06,229.5,232.0,-3.0,231.5
15588,35521888,8442986620,240.0,108/06/10,234.5,240.0,8.0,237.5
13157,34691670,8448805962,244.5,108/06/11,239.0,246.0,4.5,240.0
11457,30409556,7469805086,246.0,108/06/12,243.0,247.5,1.5,244.5
13552,33731724,8136137708,240.0,108/06/13,240.0,244.0,-6.0,242.5
14911,35403556,8396819832,236.0,108/06/14,236.0,239.5,-4.0,238.5
20943,51692012,12043369475,233.0,108/06/17,230.5,235.0,-3.0,231.5
9681,28798087,6758454612,235.5,108/06/18,233.0,235.5,2.5,234.0
20528,50234372,12181979568,244.0,108/06/19,240.5,244.0,8.5,242.5
13879,39717291,9697726719,245.0,108/06/20,241.0,245.5,1.0,242.0
19049,62136304,15398139830,248.5,108/06/21,246.0,248.5,3.5,248.0
17780,43460507,10476936660,241.0,108/06/24,240.0,242.0,0.0,241.0
11130,29735283,7118002390,238.5,108/06/25,237.0,241.5,-2.5,241.0
13535,28770041,6757991717,234.5,108/06/26,234.0,236.5,-4.0,235.0
14983,42007834,10063332494,240.5,108/06/27,236.0,241.5,6.0,236.0
8987,28085212,6715488371,239.0,108/06/28,238.0,241.5,-1.5,241.5
29551,66370875,16445222750,248.5,108/07/01,245.0,250.0,9.5,245.5
12531,26832202,6671951743,249.0,108/07/02,247.5,250.0,0.5,249.5
16033,29549774,7190777082,242.5,108/07/03,242.0,245.0,-6.5,244.0
8565,18691240,4561556160,244.0,108/07/04,242.5,245.0,1.5,244.5
9013,27317074,6624379927,243.0,108/07/05,241.5,245.0,-1.0,244.5
10552,29190909,7057462187,242.5,108/07/08,240.0,244.5,-0.5,240.0
6486,16538987,3998096596,242.0,108/07/09,240.5,243.0,-0.5,241.5
12366,23812131,5839691357,247.0,108/07/10,243.0,247.0,5.0,243.0
14360,31296289,7809358257,250.0,108/07/11,247.5,250.0,3.0,250.0
8363,23868432,5984689000,250.5,108/07/12,249.5,252.0,0.5,252.0
12174,34264300,8663129910,254.5,108/07/15,249.5,254.5,4.0,251.0
8994,26141249,6678755679,256.0,108/07/16,253.5,256.5,1.5,254.0
11106,34346648,8686815824,252.0,108/07/17,251.0,254.0,-4.0,254.0
8245,20908575,5300082470,254.0,108/07/18,251.5,254.5,2.0,252.0
21827,59879798,15573278932,259.0,108/07/19,259.0,261.0,5.0,259.5
13424,31863639,8385222407,264.0,108/07/22,262.0,264.0,5.0,263.0
12791,29273223,7734089131,264.0,108/07/23,262.5,266.5,0.0,265.5
10617,24511039,6484708226,265.0,108/07/24,263.0,266.5,1.0,266.5
10643,30698545,8091922380,265.0,108/07/25,261.5,265.0,0.0,264.0
8850,20768071,5434082968,261.0,108/07/26,261.0,262.5,-4.0,261.0
6681,18473320,4822762518,261.0,108/07/29,259.5,262.0,0.0,260.0
7191,22895612,5975389270,260.0,108/07/30,260.0,263.0,-1.0,262.5
10468,36365601,9413416604,259.5,108/07/31,257.0,260.0,-0.5,260.0
11372,30107526,7722031382,256.5,108/08/01,255.5,257.5,-3.0,257.5
18096,54165644,13627068452,251.5,108/08/02,250.5,253.5,-5.0,252.0
20136,52835721,13092403583,246.5,108/08/05,245.5,252.0,-5.0,251.0
22358,58916879,14440787992,248.5,108/08/06,240.0,250.0,2.0,240.0
11208,29435460,7305272500,248.0,108/08/07,246.5,250.5,-0.5,250.0
11228,30140266,7599200564,253.5,108/08/08,248.0,254.0,5.5,248.0
8415,24732603,6242935989,251.0,108/08/12,251.0,254.5,-2.5,254.5
11377,25045107,6204239476,246.5,108/08/13,246.5,249.5,-4.5,249.0
13609,36336703,9142333535,249.5,108/08/14,249.5,254.0,3.0,252.5
10852,28277412,6994442633,248.0,108/08/15,246.0,248.5,-1.5,247.0
8994,25696715,6420744887,250.0,108/08/16,248.0,252.0,2.0,249.5
9398,25098514,6326683127,252.0,108/08/19,250.5,253.0,2.0,251.5
8214,20620494,5233263533,254.5,108/08/20,252.5,254.5,2.5,254.0
7383,20269296,5152545480,254.5,108/08/21,253.0,255.0,0.0,254.5
8794,22136840,5659296700,254.0,108/08/22,254.0,257.5,-0.5,257.0
5663,14772877,3748071178,254.0,108/08/23,253.0,254.5,0.0,253.5
13388,31740620,7910873500,248.5,108/08/26,248.5,250.5,-5.5,249.0
8939,53664951,13410582151,250.0,108/08/27,248.5,251.0,1.5,250.5
6829,15280882,3852096070,252.0,108/08/28,250.5,253.0,2.0,250.5
6596,20085767,5078703588,254.0,108/08/29,251.0,254.0,2.0,253.0
13703,35299201,9092482858,259.0,108/08/30,256.0,259.0,5.0,256.5
7608,14776854,3800453292,257.5,108/09/02,256.0,258.0,-1.5,258.0
11210,26086495,6642868555,254.0,108/09/03,253.0,258.0,-3.5,256.5
9291,23697733,6081456520,257.5,108/09/04,254.0,258.0,3.5,254.0
22796,49041728,12869665251,263.0,108/09/05,260.5,263.0,5.5,263.0
11957,26609515,7016868801,263.5,108/09/06,263.0,265.0,0.5,265.0
8762,17317833,4585545966,265.0,108/09/09,263.5,266.0,1.5,265.5
11831,30019866,7862297242,261.5,108/09/10,260.5,264.0,-3.5,263.5
12058,36266015,9508884445,263.0,108/09/11,260.5,264.5,1.5,264.0
8282,38792293,10198483555,262.5,108/09/12,261.5,265.0,-0.5,265.0
11120,38913966,10258240252,265.5,108/09/16,261.5,265.5,3.0,262.0
9222,30069844,7979032930,265.0,108/09/17,264.5,266.5,-0.5,266.5
17993,51360759,13754334364,267.0,108/09/18,266.5,269.5,2.0,267.0
10194,27165567,7216457755,265.0,108/09/19,264.0,268.0,0.0,268.0
9109,44555865,11785924559,264.0,108/09/20,264.0,266.5,-1.0,266.0
5647,14220208,3749146092,264.0,108/09/23,263.0,264.0,0.0,264.0
9180,24304943,6419420695,265.0,108/09/24,262.0,265.5,1.0,263.5
7145,23244163,6144037875,266.0,108/09/25,262.0,266.0,1.0,262.5
11861,34128103,9139219995,268.0,108/09/26,266.5,269.5,2.0,269.0
16626,44242817,12021629536,272.0,108/09/27,271.0,272.5,4.0,271.5
26648,75248890,20886838992,280.0,108/10/01,273.0,280.5,8.0,273.0
12294,30572953,8553297334,279.5,108/10/02,279.0,281.0,-0.5,280.0
12853,35874864,9891620358,276.5,108/10/03,274.0,277.5,-3.0,274.0
13780,35814613,9924872301,276.5,108/10/04,275.0,280.0,0.0,279.5
7757,17750230,4944376000,278.0,108/10/07,277.5,279.5,1.5,279.0
16721,39868551,11341522526,286.5,108/10/08,282.5,286.5,8.5,283.5
14567,34895456,9890256397,282.0,108/10/09,282.0,286.0,-4.5,283.5
